id,name,address,designation
1,SUMIT,Visakhapatnam,B
2,SRILEKHA,Kanpur,B
3,VIKASH,Surat,B
4,SUSHANT,Hyderabad,A
5,SANKAR,Bangalore,B
6,RAJIB,Visakhapatnam,A
7,SRILEKHA,Patna,B
8,VISHAL,Meerut,C
9,ANUSHKA,Surat,B
10,VISHAL,Hyderabad,C
11,SRILEKHA,Kanpur,C
12,ANUSHKA,Hyderabad,A
13,RAM,Mumbai,C
14,VIKASH,Nashik,B
15,ALOK,Agra,C
16,SUMIT,Jaipur,A
17,RAJIB,Surat,A
18,ROHIT,Bhopal,B
19,BEENA,Rajkot,A
20,HEMANT,Hyderabad,B
21,JAYESH,Bhopal,B
22,LINA,Meerut,B
23,VISHAL,Surat,B
24,AMIT,Visakhapatnam,C
25,ANUSHKA,Rajkot,B
26,BEENA,Ahmedabad,B
27,SUJOY,Rajkot,C
28,SASANKA,Bhopal,A
29,VIKASH,Rajkot,B
30,SANKAR,Surat,A
31,BEENA,Lucknow,B
32,ROHIT,Patna,B
33,VISHAL,Rajkot,C
34,SUMIT,Agra,A
35,SANKAR,Rajkot,B
36,SRILEKHA,Delhi,A
37,HEMANT,Patna,A
38,JAYESH,Lucknow,B
39,ALOK,Nagpur,A
40,VIKASH,Bangalore,B
41,SASANKA,Vadodara,B
42,RAM,Ludhiana,B
43,AMIT,Visakhapatnam,C
44,SANKAR,Mumbai,A
45,LINA,Mumbai,C
46,ALOK,Kanpur,A
47,SRILEKHA,Rajkot,B
48,SUJOY,Delhi,A
49,ANUSHKA,Nagpur,C
50,SANKAR,Rajkot,A
51,VISHAL,Bangalore,B
52,SUJOY,Hyderabad,C
53,SRILEKHA,Vadodara,C
54,SANKAR,Pune,A
55,ALOK,Vadodara,C
56,JAYESH,Meerut,C
57,VISHAL,Rajkot,C
58,MEGHA,Pune,B
59,RAJIB,Visakhapatnam,B
60,SUJOY,Ludhiana,A
61,SUJOY,Agra,B
62,LINA,Bangalore,B
63,SANKAR,Visakhapatnam,C
64,ANUSHKA,Kanpur,A
65,AMIT,Meerut,C
66,HEMANT,Rajkot,C
67,SANKAR,Pune,C
68,MEGHA,Delhi,B
69,ALOK,Delhi,B
70,AMIT,Surat,A
71,SASANKA,Surat,B
72,RAJIB,Nagpur,B
73,SASANKA,Vadodara,B
74,ROHIT,Ludhiana,A
75,VISHAL,Rajkot,A
76,VISHAL,Delhi,A
77,VISHAL,Pune,A
78,LINA,Hyderabad,C
79,SUMIT,Nagpur,A
80,SASANKA,Delhi,A
81,MEGHA,Nagpur,A
82,RAJIB,Ahmedabad,C
83,VISHAL,Kanpur,B
84,SUMIT,Lucknow,A
85,VIKASH,Visakhapatnam,A
86,AMIT,Bhopal,A
87,AMIT,Ludhiana,C
88,BEENA,Mumbai,C
89,SUMIT,Pune,C
90,SUMIT,Hyderabad,B
91,LINA,Nagpur,B
92,SEETA,Visakhapatnam,A
93,SANKAR,Rajkot,B
94,SRILEKHA,Vadodara,B
95,SASANKA,Bhopal,A
96,SANKAR,Nagpur,A
97,ALOK,Bangalore,A
98,ALOK,Mumbai,A
99,LINA,Visakhapatnam,C
100,LINA,Rajkot,A
101,SASANKA,Rajkot,B
102,ALOK,Visakhapatnam,B
103,RAJIB,Jaipur,A
104,SASANKA,Nagpur,B
105,SUSHANT,Hyderabad,B
106,ALOK,Delhi,B
107,SUJOY,Ludhiana,C
108,SANKAR,Pune,C
109,SRILEKHA,Jaipur,A
110,HEMANT,Vadodara,C
111,JAYESH,Mumbai,A
112,SEETA,Pune,C
113,SUSHANT,Vadodara,B
114,ANUSHKA,Nagpur,C
115,RAJIB,Jaipur,A
116,BEENA,Ahmedabad,A
117,HEMANT,Vadodara,A
118,SEETA,Jaipur,C
119,RAM,Nagpur,C
120,ANUSHKA,Lucknow,B
121,SRILEKHA,Kanpur,B
122,MEGHA,Vadodara,A
123,SUMIT,Agra,C
124,SANKAR,Nashik,A
125,LINA,Kanpur,C
126,BEENA,Visakhapatnam,B
127,ROHIT,Delhi,C
128,SANKAR,Lucknow,B
129,SUSHANT,Jaipur,C
130,SUJOY,Kanpur,A
131,SEETA,Kanpur,B
132,SUSHANT,Nashik,B
133,VIKASH,Ahmedabad,A
134,MEGHA,Bangalore,A
135,AMIT,Mumbai,C
136,MEGHA,Ahmedabad,C
137,AMIT,Delhi,A
138,BEENA,Bangalore,B
139,BEENA,Vadodara,B
140,RAJIB,Kanpur,A
141,RAM,Pune,C
142,SASANKA,Nashik,C
143,RAJIB,Hyderabad,B
144,ROHIT,Vadodara,C
145,SUSHANT,Bhopal,B
146,LINA,Mumbai,A
147,RAJIB,Lucknow,C
148,ROHIT,Pune,C
149,BEENA,Lucknow,C
150,SEETA,Hyderabad,B
151,BEENA,Vadodara,B
152,HEMANT,Pune,B
153,SRILEKHA,Lucknow,C
154,BEENA,Kanpur,B
155,SUJOY,Rajkot,C
156,ALOK,Pune,A
157,VISHAL,Ludhiana,C
158,VIKASH,Bhopal,A
159,HEMANT,Nashik,A
160,SRILEKHA,Surat,B
161,SASANKA,Mumbai,C
162,LINA,Surat,C
163,SUJOY,Hyderabad,A
164,VISHAL,Visakhapatnam,A
165,ALOK,Agra,C
166,SANKAR,Agra,B
167,MEGHA,Lucknow,C
168,AMIT,Meerut,B
169,ALOK,Vadodara,C
170,SRILEKHA,Nashik,A
171,SUSHANT,Nashik,C
172,LINA,Delhi,C
173,SUSHANT,Delhi,B
174,SUJOY,Nagpur,B
175,BEENA,Mumbai,C
176,SEETA,Bhopal,C
177,VISHAL,Meerut,C
178,SUJOY,Lucknow,B
179,SUJOY,Visakhapatnam,C
180,MEGHA,Pune,B
181,VIKASH,Surat,B
182,AMIT,Kanpur,B
183,HEMANT,Nagpur,C
184,SASANKA,Nashik,C
185,SUSHANT,Rajkot,A
186,BEENA,Kanpur,A
187,SEETA,Meerut,C
188,SASANKA,Nagpur,A
189,VIKASH,Delhi,B
190,SUJOY,Hyderabad,C
191,JAYESH,Meerut,C
192,HEMANT,Hyderabad,B
193,ANUSHKA,Jaipur,C
194,BEENA,Pune,B
195,HEMANT,Nagpur,A
196,ALOK,Delhi,B
197,SUJOY,Mumbai,B
198,MEGHA,Lucknow,B
199,LINA,Pune,B
200,SANKAR,Nashik,B
201,JAYESH,Lucknow,C
202,SUSHANT,Nagpur,C
203,LINA,Surat,A
204,RAJIB,Kanpur,C
205,AMIT,Lucknow,B
206,SRILEKHA,Rajkot,C
207,BEENA,Vadodara,B
208,SRILEKHA,Visakhapatnam,A
209,AMIT,Ahmedabad,A
210,SASANKA,Rajkot,A
211,SUMIT,Bhopal,B
212,JAYESH,Hyderabad,A
213,SANKAR,Vadodara,C
214,MEGHA,Nashik,A
215,ROHIT,Kanpur,C
216,LINA,Nashik,C
217,SEETA,Vadodara,A
218,SUMIT,Lucknow,B
219,ANUSHKA,Surat,C
220,ROHIT,Agra,A
221,RAJIB,Jaipur,C
222,BEENA,Meerut,C
223,ANUSHKA,Pune,B
224,ROHIT,Bhopal,C
225,SEETA,Mumbai,A
226,SANKAR,Delhi,B
227,HEMANT,Nagpur,C
228,SEETA,Nashik,B
229,SUJOY,Surat,B
230,BEENA,Bhopal,C
231,RAM,Kanpur,C
232,MEGHA,Nashik,A
233,RAM,Lucknow,C
234,ALOK,Nashik,A
235,ANUSHKA,Ahmedabad,B
236,ROHIT,Bangalore,B
237,ANUSHKA,Pune,A
238,JAYESH,Agra,A
239,AMIT,Delhi,B
240,SEETA,Ludhiana,A
241,MEGHA,Delhi,A
242,RAM,Hyderabad,B
